symbol,datetime,open,high,low,close,volume
NVDA,2026-07-21 06:00:00,203.38,203.38,203.28,203.28,1430
AAPL,2026-07-21 06:00:00,326.59,326.59,326.59,326.59,2403
GOOGL,2026-07-21 06:00:00,352.12,352.12,351.99,351.99,1362
MSFT,2026-07-21 06:00:00,402.52,402.53,402.29,402.29,1079
AMZN,2026-07-21 06:00:00,250.1,250.1,249.99,249.99,999
AVGO,2026-07-21 06:00:00,378.29,378.29,378.12,378.16,1823
META,2026-07-21 06:00:00,645.86,645.86,645.85,645.85,1123
TSLA,2026-07-21 06:00:00,369.54,369.57,369.54,369.57,1175
MU,2026-07-21 06:00:00,866.3,866.3,865.46,865.46,1205
LLY,2026-07-21 05:59:00,1145.41,1146.64,1144.61,1146.41,365
JPM,2026-07-21 05:59:00,338.74,339.04,338.58,338.91,545
WMT,2026-07-21 06:00:00,112.19,112.2,112.19,112.2,542
AMD,2026-07-21 06:00:00,503.57,503.57,503.57,503.57,469
V,2026-07-21 05:59:00,361.23,361.37,360.93,360.97,715
JNJ,2026-07-21 05:59:00,248.87,248.9,248.63,248.85,290
XOM,2026-07-21 06:00:00,148.39,148.4,148.39,148.4,4
INTC,2026-07-21 06:00:00,97.06,97.06,97.06,97.06,942
MA,2026-07-21 05:59:00,547.5,547.73,547.32,547.52,284
AMAT,2026-07-21 06:00:00,525.7,525.7,525.7,525.7,584
CSCO,2026-07-21 06:00:00,110.7,110.7,110.7,110.7,712
LRCX,2026-07-21 06:00:00,307.02,307.02,306.76,306.76,642
ABBV,2026-07-21 05:59:00,253.41,253.56,253.35,253.42,110
CAT,2026-07-21 06:00:00,864.75,864.75,864.75,864.75,2
BAC,2026-07-21 05:59:00,60.41,60.46,60.39,60.44,796
COST,2026-07-21 06:00:00,935.8,935.8,935.8,935.8,543
UNH,2026-07-21 05:59:00,421.86,421.99,421.6,421.85,489
GE,2026-07-21 05:59:00,341.44,341.5,341.23,341.34,279
ORCL,2026-07-21 05:59:00,121.46,121.46,121.29,121.37,782
CVX,2026-07-21 05:59:00,189.7,189.82,189.13,189.67,341
MS,2026-07-21 05:59:00,210.5,211.01,210.39,210.97,212
KO,2026-07-21 06:00:00,82.11,82.11,82.11,82.11,1
PG,2026-07-21 05:59:00,149.13,149.18,149.04,149.14,265
HD,2026-07-21 05:59:00,333.02,333.15,332.73,333.09,267
GS,2026-07-21 05:59:00,1053.94,1055.68,1053.66,1055.66,156
PLTR,2026-07-21 06:00:00,134.85,134.85,134.85,134.85,493
NFLX,2026-07-21 06:00:00,67.57,67.6,67.57,67.6,602
KLAC,2026-07-21 06:00:00,207.48,207.6,207.47,207.6,859
MRK,2026-07-21 05:59:00,124.3,124.42,124.22,124.41,567
DELL,2026-07-21 05:59:00,381.77,381.91,381.05,381.71,155
PANW,2026-07-21 06:00:00,348.66,348.66,348.66,348.66,396
GEV,2026-07-21 05:59:00,1079.24,1080.12,1078.98,1079.76,152
TXN,2026-07-21 06:00:00,284.07,284.07,284.07,284.07,531
AXP,2026-07-21 05:59:00,351.86,351.98,351.58,351.86,314
LIN,2026-07-21 06:00:00,512.05,512.05,512.05,512.05,622
ANET,2026-07-21 05:59:00,169.14,169.42,169.13,169.37,275
C,2026-07-21 05:59:00,128.46,128.75,128.45,128.72,542
CRWD,2026-07-21 06:00:00,198.49,198.49,198.49,198.49,499
IBM,2026-07-21 05:59:00,213.17,213.28,212.91,213.0,240
TMUS,2026-07-21 06:00:00,195.64,195.64,195.64,195.64,382
BTC,2026-07-21 05:59:00,28.78,28.79,28.78,28.78,17
NVDA,2026-07-21 06:00:00,203.38,203.38,203.28,203.28,1430
AAPL,2026-07-21 06:00:00,326.59,326.59,326.59,326.59,2403
GOOGL,2026-07-21 06:00:00,352.12,352.12,351.99,351.99,1362
MSFT,2026-07-21 06:00:00,402.52,402.53,402.29,402.29,1079
AMZN,2026-07-21 06:00:00,250.1,250.1,249.99,249.99,999
AVGO,2026-07-21 06:00:00,378.29,378.29,378.12,378.16,1823
META,2026-07-21 06:00:00,645.86,645.86,645.85,645.85,1123
TSLA,2026-07-21 06:00:00,369.54,369.57,369.54,369.57,1175
MU,2026-07-21 06:00:00,866.3,866.3,865.46,865.46,1205
LLY,2026-07-21 05:59:00,1145.41,1146.64,1144.61,1146.41,365
JPM,2026-07-21 05:59:00,338.74,339.04,338.58,338.91,545
WMT,2026-07-21 06:00:00,112.19,112.2,112.19,112.2,542
AMD,2026-07-21 06:00:00,503.57,503.57,503.57,503.57,469
V,2026-07-21 05:59:00,361.23,361.37,360.93,360.97,715
JNJ,2026-07-21 05:59:00,248.87,248.9,248.63,248.85,290
XOM,2026-07-21 06:00:00,148.39,148.4,148.39,148.4,4
INTC,2026-07-21 06:00:00,97.06,97.06,97.06,97.06,942
MA,2026-07-21 05:59:00,547.5,547.73,547.32,547.52,284
AMAT,2026-07-21 06:00:00,525.7,525.7,525.7,525.7,584
CSCO,2026-07-21 06:00:00,110.7,110.7,110.7,110.7,712
LRCX,2026-07-21 06:00:00,307.02,307.02,306.76,306.76,642
ABBV,2026-07-21 05:59:00,253.41,253.56,253.35,253.42,110
CAT,2026-07-21 06:00:00,864.75,864.75,864.75,864.75,2
BAC,2026-07-21 05:59:00,60.41,60.46,60.39,60.44,796
COST,2026-07-21 06:00:00,935.8,935.8,935.8,935.8,543
UNH,2026-07-21 05:59:00,421.86,421.99,421.6,421.85,489
GE,2026-07-21 05:59:00,341.44,341.5,341.23,341.34,279
ORCL,2026-07-21 05:59:00,121.46,121.46,121.29,121.37,782
CVX,2026-07-21 05:59:00,189.7,189.82,189.13,189.67,341
MS,2026-07-21 05:59:00,210.5,211.01,210.39,210.97,212
KO,2026-07-21 06:00:00,82.11,82.11,82.11,82.11,1
PG,2026-07-21 05:59:00,149.13,149.18,149.04,149.14,265
HD,2026-07-21 05:59:00,333.02,333.15,332.73,333.09,267
GS,2026-07-21 05:59:00,1053.94,1055.68,1053.66,1055.66,156
PLTR,2026-07-21 06:00:00,134.85,134.85,134.85,134.85,493
NFLX,2026-07-21 06:00:00,67.57,67.6,67.57,67.6,602
KLAC,2026-07-21 06:00:00,207.48,207.6,207.47,207.6,859
MRK,2026-07-21 05:59:00,124.3,124.42,124.22,124.41,567
DELL,2026-07-21 05:59:00,381.77,381.91,381.05,381.71,155
PANW,2026-07-21 06:00:00,348.66,348.66,348.66,348.66,396
GEV,2026-07-21 05:59:00,1079.24,1080.12,1078.98,1079.76,152
TXN,2026-07-21 06:00:00,284.07,284.07,284.07,284.07,531
AXP,2026-07-21 05:59:00,351.86,351.98,351.58,351.86,314
LIN,2026-07-21 06:00:00,512.05,512.05,512.05,512.05,622
ANET,2026-07-21 05:59:00,169.14,169.42,169.13,169.37,275
C,2026-07-21 05:59:00,128.46,128.75,128.45,128.72,542
CRWD,2026-07-21 06:00:00,198.49,198.49,198.49,198.49,499
IBM,2026-07-21 05:59:00,213.17,213.28,212.91,213.0,240
TMUS,2026-07-21 06:00:00,195.64,195.64,195.64,195.64,382
BTCUSD,2026-07-21 05:59:00,28.78,28.79,28.78,28.78,17
